Environment,Num Envs,Num Steps,FPS,Seed
Atari,2,32,465,0
Atari,4,32,466,0
Atari,8,32,465,0
Atari,16,32,466,0
Atari,32,32,465,0
Atari,64,32,450,0
Atari,128,32,464,0
Atari,256,32,450,0
Atari,512,32,460,0
Atari,2,32,463,1
Atari,4,32,464,1
Atari,8,32,463,1
Atari,16,32,465,1
Atari,32,32,445,1
Atari,64,32,450,1
Atari,128,32,463,1
Atari,256,32,462,1
Atari,512,32,459,1
Atari,2,32,464,2
Atari,4,32,463,2
Atari,8,32,465,2
Atari,16,32,465,2
Atari,32,32,462,2
Atari,64,32,465,2
Atari,128,32,458,2
Atari,256,32,464,2
Atari,512,32,461,2
Atari,2,32,464,3
Atari,4,32,463,3
Atari,8,32,464,3
Atari,16,32,464,3
Atari,32,32,466,3
Atari,64,32,465,3
Atari,128,32,464,3
Atari,256,32,461,3
Atari,512,32,461,3
Atari,2,32,328,4
Atari,4,32,462,4
Atari,8,32,462,4
Atari,16,32,465,4
Atari,32,32,466,4
Atari,64,32,465,4
Atari,128,32,452,4
Atari,256,32,464,4
Atari,512,32,457,4
Atari,2,32,262,5
Atari,4,32,464,5
Atari,8,32,464,5
Atari,16,32,465,5
Atari,32,32,461,5
Atari,64,32,465,5
Atari,128,32,459,5
Atari,256,32,463,5
Atari,512,32,462,5
Atari,2,32,462,6
Atari,4,32,463,6
Atari,8,32,464,6
Atari,16,32,465,6
Atari,32,32,464,6
Atari,64,32,452,6
Atari,128,32,464,6
Atari,256,32,464,6
Atari,512,32,458,6
Atari,2,32,421,7
Atari,4,32,464,7
Atari,8,32,464,7
Atari,16,32,466,7
Atari,32,32,465,7
Atari,64,32,465,7
Atari,128,32,458,7
Atari,256,32,464,7
Atari,512,32,460,7
Atari,2,32,464,8
Atari,4,32,465,8
Atari,8,32,464,8
Atari,16,32,465,8
Atari,32,32,465,8
Atari,64,32,444,8
Atari,128,32,464,8
Atari,256,32,464,8
Atari,512,32,451,8
Atari,2,32,463,9
Atari,4,32,465,9
Atari,8,32,464,9
Atari,16,32,465,9
Atari,32,32,464,9
Atari,64,32,465,9
Atari,128,32,464,9
Atari,256,32,465,9
Atari,512,32,459,9
Gymnax,2,32,83965,0
Gymnax,4,32,173017,0
Gymnax,8,32,325771,0
Gymnax,16,32,686755,0
Gymnax,32,32,649081,0
Gymnax,64,32,2589670,0
Gymnax,128,32,5195001,0
Gymnax,256,32,10315142,0
Gymnax,512,32,20824084,0
Gymnax,2,32,90718,1
Gymnax,4,32,189372,1
Gymnax,8,32,384992,1
Gymnax,16,32,686097,1
Gymnax,32,32,672771,1
Gymnax,64,32,2951868,1
Gymnax,128,32,6628036,1
Gymnax,256,32,14430801,1
Gymnax,512,32,22530976,1
Gymnax,2,32,68689,2
Gymnax,4,32,167982,2
Gymnax,8,32,381571,2
Gymnax,16,32,735944,2
Gymnax,32,32,671929,2
Gymnax,64,32,2626891,2
Gymnax,128,32,5698132,2
Gymnax,256,32,10863022,2
Gymnax,512,32,20556230,2
Gymnax,2,32,117323,3
Gymnax,4,32,205855,3
Gymnax,8,32,347040,3
Gymnax,16,32,716784,3
Gymnax,32,32,701677,3
Gymnax,64,32,2691926,3
Gymnax,128,32,5857439,3
Gymnax,256,32,10791375,3
Gymnax,512,32,23263195,3
Gymnax,2,32,88886,4
Gymnax,4,32,181314,4
Gymnax,8,32,337019,4
Gymnax,16,32,652731,4
Gymnax,32,32,717382,4
Gymnax,64,32,2941758,4
Gymnax,128,32,6199881,4
Gymnax,256,32,12985540,4
Gymnax,512,32,17201371,4
Gymnax,2,32,93142,5
Gymnax,4,32,194589,5
Gymnax,8,32,348617,5
Gymnax,16,32,644310,5
Gymnax,32,32,696331,5
Gymnax,64,32,2915796,5
Gymnax,128,32,5887549,5
Gymnax,256,32,11044596,5
Gymnax,512,32,21118462,5
Gymnax,2,32,98653,6
Gymnax,4,32,173073,6
Gymnax,8,32,392163,6
Gymnax,16,32,541473,6
Gymnax,32,32,738094,6
Gymnax,64,32,2760262,6
Gymnax,128,32,5936375,6
Gymnax,256,32,11690962,6
Gymnax,512,32,23397847,6
Gymnax,2,32,86648,7
Gymnax,4,32,191466,7
Gymnax,8,32,228310,7
Gymnax,16,32,704093,7
Gymnax,32,32,643730,7
Gymnax,64,32,2618882,7
Gymnax,128,32,5091840,7
Gymnax,256,32,10787987,7
Gymnax,512,32,20205668,7
Gymnax,2,32,94420,8
Gymnax,4,32,180765,8
Gymnax,8,32,409045,8
Gymnax,16,32,665062,8
Gymnax,32,32,706642,8
Gymnax,64,32,2882528,8
Gymnax,128,32,5016020,8
Gymnax,256,32,8652666,8
Gymnax,512,32,18136573,8
Gymnax,2,32,87552,9
Gymnax,4,32,170598,9
Gymnax,8,32,357675,9
Gymnax,16,32,689180,9
Gymnax,32,32,707923,9
Gymnax,64,32,2664372,9
Gymnax,128,32,4521018,9
Gymnax,256,32,13511498,9
Gymnax,512,32,21948092,9
MinAtar,2,32,63505,0
MinAtar,4,32,86023,0
MinAtar,8,32,135642,0
MinAtar,16,32,173198,0
MinAtar,32,32,199654,0
MinAtar,64,32,219109,0
MinAtar,128,32,231348,0
MinAtar,256,32,236996,0
MinAtar,512,32,216262,0
MinAtar,2,32,62369,1
MinAtar,4,32,97933,1
MinAtar,8,32,135351,1
MinAtar,16,32,171292,1
MinAtar,32,32,198620,1
MinAtar,64,32,221025,1
MinAtar,128,32,229202,1
MinAtar,256,32,236219,1
MinAtar,512,32,238551,1
