Environment,Partial Obs,Num Envs,Num Steps,FPS,Seed
Acrobot-v1,False,2,32,83965,0
Acrobot-v1,False,4,32,173017,0
Acrobot-v1,False,8,32,325771,0
Acrobot-v1,False,16,32,686755,0
Acrobot-v1,False,32,32,649081,0
Acrobot-v1,False,64,32,2589670,0
Acrobot-v1,False,128,32,5195001,0
Acrobot-v1,False,256,32,10315142,0
Acrobot-v1,False,512,32,20824084,0
Acrobot-v1,False,2,32,90718,1
Acrobot-v1,False,4,32,189372,1
Acrobot-v1,False,8,32,384992,1
Acrobot-v1,False,16,32,686097,1
Acrobot-v1,False,32,32,672771,1
Acrobot-v1,False,64,32,2951868,1
Acrobot-v1,False,128,32,6628036,1
Acrobot-v1,False,256,32,14430801,1
Acrobot-v1,False,512,32,22530976,1
Acrobot-v1,False,2,32,68689,2
Acrobot-v1,False,4,32,167982,2
Acrobot-v1,False,8,32,381571,2
Acrobot-v1,False,16,32,735944,2
Acrobot-v1,False,32,32,671929,2
Acrobot-v1,False,64,32,2626891,2
Acrobot-v1,False,128,32,5698132,2
Acrobot-v1,False,256,32,10863022,2
Acrobot-v1,False,512,32,20556230,2
Acrobot-v1,False,2,32,117323,3
Acrobot-v1,False,4,32,205855,3
Acrobot-v1,False,8,32,347040,3
Acrobot-v1,False,16,32,716784,3
Acrobot-v1,False,32,32,701677,3
Acrobot-v1,False,64,32,2691926,3
Acrobot-v1,False,128,32,5857439,3
Acrobot-v1,False,256,32,10791375,3
Acrobot-v1,False,512,32,23263195,3
Acrobot-v1,False,2,32,88886,4
Acrobot-v1,False,4,32,181314,4
Acrobot-v1,False,8,32,337019,4
Acrobot-v1,False,16,32,652731,4
Acrobot-v1,False,32,32,717382,4
Acrobot-v1,False,64,32,2941758,4
Acrobot-v1,False,128,32,6199881,4
Acrobot-v1,False,256,32,12985540,4
Acrobot-v1,False,512,32,17201371,4
Acrobot-v1,False,2,32,93142,5
Acrobot-v1,False,4,32,194589,5
Acrobot-v1,False,8,32,348617,5
Acrobot-v1,False,16,32,644310,5
Acrobot-v1,False,32,32,696331,5
Acrobot-v1,False,64,32,2915796,5
Acrobot-v1,False,128,32,5887549,5
Acrobot-v1,False,256,32,11044596,5
Acrobot-v1,False,512,32,21118462,5
Acrobot-v1,False,2,32,98653,6
Acrobot-v1,False,4,32,173073,6
Acrobot-v1,False,8,32,392163,6
Acrobot-v1,False,16,32,541473,6
Acrobot-v1,False,32,32,738094,6
Acrobot-v1,False,64,32,2760262,6
Acrobot-v1,False,128,32,5936375,6
Acrobot-v1,False,256,32,11690962,6
Acrobot-v1,False,512,32,23397847,6
Acrobot-v1,False,2,32,86648,7
Acrobot-v1,False,4,32,191466,7
Acrobot-v1,False,8,32,228310,7
Acrobot-v1,False,16,32,704093,7
Acrobot-v1,False,32,32,643730,7
Acrobot-v1,False,64,32,2618882,7
Acrobot-v1,False,128,32,5091840,7
Acrobot-v1,False,256,32,10787987,7
Acrobot-v1,False,512,32,20205668,7
Acrobot-v1,False,2,32,94420,8
Acrobot-v1,False,4,32,180765,8
Acrobot-v1,False,8,32,409045,8
Acrobot-v1,False,16,32,665062,8
Acrobot-v1,False,32,32,706642,8
Acrobot-v1,False,64,32,2882528,8
Acrobot-v1,False,128,32,5016020,8
Acrobot-v1,False,256,32,8652666,8
Acrobot-v1,False,512,32,18136573,8
Acrobot-v1,False,2,32,87552,9
Acrobot-v1,False,4,32,170598,9
Acrobot-v1,False,8,32,357675,9
Acrobot-v1,False,16,32,689180,9
Acrobot-v1,False,32,32,707923,9
Acrobot-v1,False,64,32,2664372,9
Acrobot-v1,False,128,32,4521018,9
Acrobot-v1,False,256,32,13511498,9
Acrobot-v1,False,512,32,21948092,9
Pendulum-v1,False,2,32,264991,0
Pendulum-v1,False,4,32,1709780,0
Pendulum-v1,False,8,32,817777,0
Pendulum-v1,False,16,32,1959383,0
Pendulum-v1,False,32,32,11392486,0
Pendulum-v1,False,64,32,5556232,0
Pendulum-v1,False,128,32,15366609,0
Pendulum-v1,False,256,32,126788702,0
Pendulum-v1,False,512,32,62814878,0
Pendulum-v1,False,2,32,321480,1
Pendulum-v1,False,4,32,482798,1
Pendulum-v1,False,8,32,3821145,1
Pendulum-v1,False,16,32,1744503,1
Pendulum-v1,False,32,32,12341860,1
Pendulum-v1,False,64,32,7456540,1
Pendulum-v1,False,128,32,64344079,1
Pendulum-v1,False,256,32,30193092,1
Pendulum-v1,False,512,32,216098983,1
Pendulum-v1,False,2,32,247634,2
Pendulum-v1,False,4,32,471767,2
Pendulum-v1,False,8,32,3567249,2
Pendulum-v1,False,16,32,4858560,2
Pendulum-v1,False,32,32,10058471,2
Pendulum-v1,False,64,32,5193431,2
Pendulum-v1,False,128,32,16192148,2
Pendulum-v1,False,256,32,42055983,2
Pendulum-v1,False,512,32,49545405,2
Pendulum-v1,False,2,32,238822,3
Pendulum-v1,False,4,32,1931190,3
Pendulum-v1,False,8,32,798915,3
Pendulum-v1,False,16,32,1829202,3
Pendulum-v1,False,32,32,3463683,3
Pendulum-v1,False,64,32,5973529,3
Pendulum-v1,False,128,32,16424349,3
Pendulum-v1,False,256,32,31814573,3
Pendulum-v1,False,512,32,106707262,3
Pendulum-v1,False,2,32,200624,4
Pendulum-v1,False,4,32,1910573,4
Pendulum-v1,False,8,32,1285918,4
Pendulum-v1,False,16,32,1751618,4
Pendulum-v1,False,32,32,8275467,4
Pendulum-v1,False,64,32,6019576,4
Pendulum-v1,False,128,32,15463429,4
Pendulum-v1,False,256,32,32943182,4
Pendulum-v1,False,512,32,59240928,4
Pendulum-v1,False,2,32,203669,5
Pendulum-v1,False,4,32,511793,5
Pendulum-v1,False,8,32,968207,5
Pendulum-v1,False,16,32,2010752,5
Pendulum-v1,False,32,32,3183816,5
Pendulum-v1,False,64,32,6978013,5
Pendulum-v1,False,128,32,15136449,5
Pendulum-v1,False,256,32,32202192,5
Pendulum-v1,False,512,32,98030637,5
Pendulum-v1,False,2,32,250173,6
Pendulum-v1,False,4,32,413933,6
Pendulum-v1,False,8,32,985084,6
Pendulum-v1,False,16,32,1955814,6
Pendulum-v1,False,32,32,2559575,6
Pendulum-v1,False,64,32,7285780,6
Pendulum-v1,False,128,32,15966421,6
Pendulum-v1,False,256,32,31932842,6
Pendulum-v1,False,512,32,57602244,6
Pendulum-v1,False,2,32,208575,7
Pendulum-v1,False,4,32,422068,7
Pendulum-v1,False,8,32,1022611,7
Pendulum-v1,False,16,32,1709780,7
Pendulum-v1,False,32,32,10710642,7
Pendulum-v1,False,64,32,7561562,7
Pendulum-v1,False,128,32,58236845,7
Pendulum-v1,False,256,32,27291293,7
Pendulum-v1,False,512,32,60759926,7
Pendulum-v1,False,2,32,251344,8
Pendulum-v1,False,4,32,466034,8
Pendulum-v1,False,8,32,1322342,8
Pendulum-v1,False,16,32,1934670,8
Pendulum-v1,False,32,32,3546629,8
Pendulum-v1,False,64,32,4976787,8
Pendulum-v1,False,128,32,14424743,8
Pendulum-v1,False,256,32,35132657,8
Pendulum-v1,False,512,32,47888137,8
Pendulum-v1,False,2,32,897777,9
Pendulum-v1,False,4,32,1832324,9
Pendulum-v1,False,8,32,3253763,9
Pendulum-v1,False,16,32,1929455,9
Pendulum-v1,False,32,32,2902005,9
Pendulum-v1,False,64,32,7508684,9
Pendulum-v1,False,128,32,54366675,9
Pendulum-v1,False,256,32,31236126,9
Pendulum-v1,False,512,32,64707605,9
SpaceInvaders-MinAtar,False,2,32,49345,0
SpaceInvaders-MinAtar,False,4,32,79560,0
SpaceInvaders-MinAtar,False,8,32,176457,0
SpaceInvaders-MinAtar,False,16,32,466641,0
SpaceInvaders-MinAtar,False,32,32,826114,0
SpaceInvaders-MinAtar,False,64,32,1243116,0
SpaceInvaders-MinAtar,False,128,32,2377837,0
SpaceInvaders-MinAtar,False,256,32,4665273,0
SpaceInvaders-MinAtar,False,512,32,9225329,0
SpaceInvaders-MinAtar,False,2,32,47807,1
SpaceInvaders-MinAtar,False,4,32,85530,1
SpaceInvaders-MinAtar,False,8,32,188178,1
SpaceInvaders-MinAtar,False,16,32,459257,1
SpaceInvaders-MinAtar,False,32,32,724278,1
SpaceInvaders-MinAtar,False,64,32,1315457,1
SpaceInvaders-MinAtar,False,128,32,2503624,1
SpaceInvaders-MinAtar,False,256,32,4721041,1
SpaceInvaders-MinAtar,False,512,32,9138228,1
SpaceInvaders-MinAtar,False,2,32,52655,2
SpaceInvaders-MinAtar,False,4,32,92660,2
SpaceInvaders-MinAtar,False,8,32,139901,2
SpaceInvaders-MinAtar,False,16,32,459945,2
SpaceInvaders-MinAtar,False,32,32,762059,2
SpaceInvaders-MinAtar,False,64,32,1422646,2
SpaceInvaders-MinAtar,False,128,32,2510576,2
SpaceInvaders-MinAtar,False,256,32,4465203,2
SpaceInvaders-MinAtar,False,512,32,8294445,2
SpaceInvaders-MinAtar,False,2,32,53516,3
SpaceInvaders-MinAtar,False,4,32,97507,3
SpaceInvaders-MinAtar,False,8,32,188244,3
SpaceInvaders-MinAtar,False,16,32,494926,3
SpaceInvaders-MinAtar,False,32,32,672876,3
SpaceInvaders-MinAtar,False,64,32,1318081,3
SpaceInvaders-MinAtar,False,128,32,2470857,3
SpaceInvaders-MinAtar,False,256,32,4943136,3
SpaceInvaders-MinAtar,False,512,32,8495423,3
SpaceInvaders-MinAtar,False,2,32,48332,4
SpaceInvaders-MinAtar,False,4,32,93272,4
SpaceInvaders-MinAtar,False,8,32,177127,4
SpaceInvaders-MinAtar,False,16,32,491865,4
SpaceInvaders-MinAtar,False,32,32,781187,4
SpaceInvaders-MinAtar,False,64,32,1387936,4
SpaceInvaders-MinAtar,False,128,32,2556909,4
SpaceInvaders-MinAtar,False,256,32,4672887,4
SpaceInvaders-MinAtar,False,512,32,8868174,4
SpaceInvaders-MinAtar,False,2,32,55154,5
SpaceInvaders-MinAtar,False,4,32,84268,5
SpaceInvaders-MinAtar,False,8,32,187520,5
SpaceInvaders-MinAtar,False,16,32,453822,5
SpaceInvaders-MinAtar,False,32,32,671823,5
SpaceInvaders-MinAtar,False,64,32,1359167,5
SpaceInvaders-MinAtar,False,128,32,2237253,5
SpaceInvaders-MinAtar,False,256,32,4466364,5
SpaceInvaders-MinAtar,False,512,32,9193241,5
SpaceInvaders-MinAtar,False,2,32,53655,6
SpaceInvaders-MinAtar,False,4,32,84707,6
SpaceInvaders-MinAtar,False,8,32,194272,6
SpaceInvaders-MinAtar,False,16,32,452960,6
SpaceInvaders-MinAtar,False,32,32,749166,6
SpaceInvaders-MinAtar,False,64,32,1542179,6
SpaceInvaders-MinAtar,False,128,32,2329158,6
SpaceInvaders-MinAtar,False,256,32,4147723,6
SpaceInvaders-MinAtar,False,512,32,9423955,6
SpaceInvaders-MinAtar,False,2,32,48744,7
SpaceInvaders-MinAtar,False,4,32,93564,7
SpaceInvaders-MinAtar,False,8,32,189741,7
SpaceInvaders-MinAtar,False,16,32,401024,7
SpaceInvaders-MinAtar,False,32,32,732680,7
SpaceInvaders-MinAtar,False,64,32,1511780,7
SpaceInvaders-MinAtar,False,128,32,2446926,7
SpaceInvaders-MinAtar,False,256,32,4638194,7
SpaceInvaders-MinAtar,False,512,32,9257642,7
SpaceInvaders-MinAtar,False,2,32,46790,8
SpaceInvaders-MinAtar,False,4,32,76098,8
SpaceInvaders-MinAtar,False,8,32,194765,8
SpaceInvaders-MinAtar,False,16,32,406643,8
SpaceInvaders-MinAtar,False,32,32,737713,8
SpaceInvaders-MinAtar,False,64,32,1370661,8
SpaceInvaders-MinAtar,False,128,32,2121757,8
SpaceInvaders-MinAtar,False,256,32,4652639,8
SpaceInvaders-MinAtar,False,512,32,10068788,8
SpaceInvaders-MinAtar,False,2,32,49802,9
SpaceInvaders-MinAtar,False,4,32,86425,9
SpaceInvaders-MinAtar,False,8,32,182578,9
SpaceInvaders-MinAtar,False,16,32,458276,9
SpaceInvaders-MinAtar,False,32,32,770121,9
SpaceInvaders-MinAtar,False,64,32,1446117,9
SpaceInvaders-MinAtar,False,128,32,2376192,9
SpaceInvaders-MinAtar,False,256,32,4652009,9
SpaceInvaders-MinAtar,False,512,32,9345774,9
Breakout-MinAtar,False,2,32,117067,0
Breakout-MinAtar,False,4,32,306608,0
Breakout-MinAtar,False,8,32,633102,0
Breakout-MinAtar,False,16,32,1187768,0
Breakout-MinAtar,False,32,32,2254576,0
Breakout-MinAtar,False,64,32,4180017,0
Breakout-MinAtar,False,128,32,6777069,0
Breakout-MinAtar,False,256,32,21157474,0
Breakout-MinAtar,False,512,32,23671883,0
Breakout-MinAtar,False,2,32,145179,1
Breakout-MinAtar,False,4,32,309793,1
Breakout-MinAtar,False,8,32,606291,1
Breakout-MinAtar,False,16,32,1229945,1
Breakout-MinAtar,False,32,32,2262891,1
Breakout-MinAtar,False,64,32,3506096,1
Breakout-MinAtar,False,128,32,7710893,1
Breakout-MinAtar,False,256,32,15129784,1
Breakout-MinAtar,False,512,32,29106089,1
Breakout-MinAtar,False,2,32,122183,2
Breakout-MinAtar,False,4,32,284661,2
Breakout-MinAtar,False,8,32,578525,2
Breakout-MinAtar,False,16,32,1293665,2
Breakout-MinAtar,False,32,32,2123068,2
Breakout-MinAtar,False,64,32,3691420,2
Breakout-MinAtar,False,128,32,6869200,2
Breakout-MinAtar,False,256,32,18393864,2
Breakout-MinAtar,False,512,32,28060219,2
Breakout-MinAtar,False,2,32,161029,3
Breakout-MinAtar,False,4,32,235884,3
Breakout-MinAtar,False,8,32,575424,3
Breakout-MinAtar,False,16,32,943534,3
Breakout-MinAtar,False,32,32,2366373,3
Breakout-MinAtar,False,64,32,4367023,3
Breakout-MinAtar,False,128,32,6850028,3
