Environment,Num Envs,Num Steps,FPS,Seed
MinAtar/Asterix-v1,2,32,63505,0
MinAtar/Asterix-v1,4,32,86023,0
MinAtar/Asterix-v1,8,32,135642,0
MinAtar/Asterix-v1,16,32,173198,0
MinAtar/Asterix-v1,32,32,199654,0
MinAtar/Asterix-v1,64,32,219109,0
MinAtar/Asterix-v1,128,32,231348,0
MinAtar/Asterix-v1,256,32,236996,0
MinAtar/Asterix-v1,512,32,216262,0
MinAtar/Asterix-v1,2,32,62369,1
MinAtar/Asterix-v1,4,32,97933,1
MinAtar/Asterix-v1,8,32,135351,1
MinAtar/Asterix-v1,16,32,171292,1
MinAtar/Asterix-v1,32,32,198620,1
MinAtar/Asterix-v1,64,32,221025,1
MinAtar/Asterix-v1,128,32,229202,1
MinAtar/Asterix-v1,256,32,236219,1
MinAtar/Asterix-v1,512,32,238551,1
MinAtar/Asterix-v1,2,32,61780,2
MinAtar/Asterix-v1,4,32,96248,2
MinAtar/Asterix-v1,8,32,135676,2
MinAtar/Asterix-v1,16,32,170368,2
MinAtar/Asterix-v1,32,32,197134,2
MinAtar/Asterix-v1,64,32,218857,2
MinAtar/Asterix-v1,128,32,229874,2
MinAtar/Asterix-v1,256,32,216240,2
MinAtar/Asterix-v1,512,32,237575,2
MinAtar/Asterix-v1,2,32,58585,3
MinAtar/Asterix-v1,4,32,97507,3
MinAtar/Asterix-v1,8,32,135711,3
MinAtar/Asterix-v1,16,32,172558,3
MinAtar/Asterix-v1,32,32,199905,3
MinAtar/Asterix-v1,64,32,221287,3
MinAtar/Asterix-v1,128,32,228410,3
MinAtar/Asterix-v1,256,32,236659,3
MinAtar/Asterix-v1,512,32,239835,3
MinAtar/Asterix-v1,2,32,59613,4
MinAtar/Asterix-v1,4,32,97400,4
MinAtar/Asterix-v1,8,32,134067,4
MinAtar/Asterix-v1,16,32,172102,4
MinAtar/Asterix-v1,32,32,199164,4
MinAtar/Asterix-v1,64,32,217919,4
MinAtar/Asterix-v1,128,32,229625,4
MinAtar/Asterix-v1,256,32,236634,4
MinAtar/Asterix-v1,512,32,217749,4
MinAtar/Asterix-v1,2,32,62543,5
MinAtar/Asterix-v1,4,32,97577,5
MinAtar/Asterix-v1,8,32,135198,5
MinAtar/Asterix-v1,16,32,172212,5
MinAtar/Asterix-v1,32,32,200831,5
MinAtar/Asterix-v1,64,32,197279,5
MinAtar/Asterix-v1,128,32,229163,5
MinAtar/Asterix-v1,256,32,237542,5
MinAtar/Asterix-v1,512,32,239871,5
MinAtar/Asterix-v1,2,32,62282,6
MinAtar/Asterix-v1,4,32,96058,6
MinAtar/Asterix-v1,8,32,137571,6
MinAtar/Asterix-v1,16,32,173170,6
MinAtar/Asterix-v1,32,32,198859,6
MinAtar/Asterix-v1,64,32,217869,6
MinAtar/Asterix-v1,128,32,227841,6
MinAtar/Asterix-v1,256,32,236041,6
MinAtar/Asterix-v1,512,32,238721,6
MinAtar/Asterix-v1,2,32,61371,7
MinAtar/Asterix-v1,4,32,94787,7
MinAtar/Asterix-v1,8,32,133883,7
MinAtar/Asterix-v1,16,32,171565,7
MinAtar/Asterix-v1,32,32,199330,7
MinAtar/Asterix-v1,64,32,219237,7
MinAtar/Asterix-v1,128,32,208874,7
MinAtar/Asterix-v1,256,32,237180,7
MinAtar/Asterix-v1,512,32,239455,7
MinAtar/Asterix-v1,2,32,61723,8
MinAtar/Asterix-v1,4,32,99939,8
MinAtar/Asterix-v1,8,32,136591,8
MinAtar/Asterix-v1,16,32,170300,8
MinAtar/Asterix-v1,32,32,199302,8
MinAtar/Asterix-v1,64,32,221094,8
MinAtar/Asterix-v1,128,32,230742,8
MinAtar/Asterix-v1,256,32,236047,8
MinAtar/Asterix-v1,512,32,237882,8
MinAtar/Asterix-v1,2,32,61980,9
MinAtar/Asterix-v1,4,32,89778,9
MinAtar/Asterix-v1,8,32,124622,9
MinAtar/Asterix-v1,16,32,170422,9
MinAtar/Asterix-v1,32,32,199016,9
MinAtar/Asterix-v1,64,32,218685,9
MinAtar/Asterix-v1,128,32,227974,9
MinAtar/Asterix-v1,256,32,216484,9
MinAtar/Asterix-v1,512,32,233203,9
