Environment,Partial Obs,Num Envs,Num Steps,FPS,Seed
MineSweeperEasy,False,2,32,87070,0
MineSweeperEasy,False,4,32,169896,0
MineSweeperEasy,False,8,32,265712,0
MineSweeperEasy,False,16,32,417798,0
MineSweeperEasy,False,32,32,454686,0
MineSweeperEasy,False,64,32,569775,0
MineSweeperEasy,False,128,32,627048,0
MineSweeperEasy,False,256,32,722830,0
MineSweeperEasy,False,512,32,714629,0
MineSweeperEasy,False,2,32,84627,1
MineSweeperEasy,False,4,32,159735,1
MineSweeperEasy,False,8,32,256385,1
MineSweeperEasy,False,16,32,419103,1
MineSweeperEasy,False,32,32,476689,1
MineSweeperEasy,False,64,32,583476,1
MineSweeperEasy,False,128,32,605757,1
MineSweeperEasy,False,256,32,706482,1
MineSweeperEasy,False,512,32,712503,1
MineSweeperEasy,False,2,32,85516,2
MineSweeperEasy,False,4,32,168668,2
MineSweeperEasy,False,8,32,268704,2
MineSweeperEasy,False,16,32,398864,2
MineSweeperEasy,False,32,32,470063,2
MineSweeperEasy,False,64,32,563607,2
MineSweeperEasy,False,128,32,625610,2
MineSweeperEasy,False,256,32,700219,2
MineSweeperEasy,False,512,32,714637,2
MineSweeperEasy,False,2,32,89122,3
MineSweeperEasy,False,4,32,147898,3
MineSweeperEasy,False,8,32,303231,3
MineSweeperEasy,False,16,32,406336,3
MineSweeperEasy,False,32,32,423149,3
MineSweeperEasy,False,64,32,547618,3
MineSweeperEasy,False,128,32,618983,3
MineSweeperEasy,False,256,32,705698,3
MineSweeperEasy,False,512,32,712518,3
MineSweeperEasy,False,2,32,72984,4
MineSweeperEasy,False,4,32,167982,4
MineSweeperEasy,False,8,32,277453,4
MineSweeperEasy,False,16,32,334603,4
MineSweeperEasy,False,32,32,442415,4
MineSweeperEasy,False,64,32,560774,4
MineSweeperEasy,False,128,32,612429,4
MineSweeperEasy,False,256,32,700547,4
MineSweeperEasy,False,512,32,713050,4
MineSweeperEasy,False,2,32,80563,5
MineSweeperEasy,False,4,32,178838,5
MineSweeperEasy,False,8,32,223650,5
MineSweeperEasy,False,16,32,384303,5
MineSweeperEasy,False,32,32,443741,5
MineSweeperEasy,False,64,32,577746,5
MineSweeperEasy,False,128,32,616628,5
MineSweeperEasy,False,256,32,720572,5
MineSweeperEasy,False,512,32,714986,5
MineSweeperEasy,False,2,32,69345,6
MineSweeperEasy,False,4,32,151359,6
MineSweeperEasy,False,8,32,308015,6
MineSweeperEasy,False,16,32,391591,6
MineSweeperEasy,False,32,32,429325,6
MineSweeperEasy,False,64,32,566394,6
MineSweeperEasy,False,128,32,625610,6
MineSweeperEasy,False,256,32,719741,6
MineSweeperEasy,False,512,32,715947,6
MineSweeperEasy,False,2,32,85762,7
MineSweeperEasy,False,4,32,172572,7
MineSweeperEasy,False,8,32,305909,7
MineSweeperEasy,False,16,32,383137,7
MineSweeperEasy,False,32,32,470836,7
MineSweeperEasy,False,64,32,541132,7
MineSweeperEasy,False,128,32,611971,7
MineSweeperEasy,False,256,32,702581,7
MineSweeperEasy,False,512,32,714421,7
MineSweeperEasy,False,2,32,85353,8
MineSweeperEasy,False,4,32,148512,8
MineSweeperEasy,False,8,32,251875,8
MineSweeperEasy,False,16,32,369237,8
MineSweeperEasy,False,32,32,448186,8
MineSweeperEasy,False,64,32,586664,8
MineSweeperEasy,False,128,32,641447,8
MineSweeperEasy,False,256,32,667984,8
MineSweeperEasy,False,512,32,715329,8
MineSweeperEasy,False,2,32,81418,9
MineSweeperEasy,False,4,32,166472,9
MineSweeperEasy,False,8,32,307047,9
MineSweeperEasy,False,16,32,411080,9
MineSweeperEasy,False,32,32,395704,9
MineSweeperEasy,False,64,32,557426,9
MineSweeperEasy,False,128,32,634716,9
MineSweeperEasy,False,256,32,693562,9
MineSweeperEasy,False,512,32,715716,9
NavigatorEasy,False,2,32,46052,0
NavigatorEasy,False,4,32,82115,0
NavigatorEasy,False,8,32,133202,0
NavigatorEasy,False,16,32,180264,0
NavigatorEasy,False,32,32,232010,0
NavigatorEasy,False,64,32,272256,0
NavigatorEasy,False,128,32,292115,0
NavigatorEasy,False,256,32,316791,0
NavigatorEasy,False,512,32,335695,0
NavigatorEasy,False,2,32,42373,1
NavigatorEasy,False,4,32,80370,1
NavigatorEasy,False,8,32,130514,1
NavigatorEasy,False,16,32,195297,1
NavigatorEasy,False,32,32,231422,1
NavigatorEasy,False,64,32,266636,1
NavigatorEasy,False,128,32,299374,1
NavigatorEasy,False,256,32,320007,1
NavigatorEasy,False,512,32,335931,1
NavigatorEasy,False,2,32,43719,2
NavigatorEasy,False,4,32,77853,2
NavigatorEasy,False,8,32,139974,2
NavigatorEasy,False,16,32,183264,2
NavigatorEasy,False,32,32,231198,2
NavigatorEasy,False,64,32,276729,2
NavigatorEasy,False,128,32,291887,2
NavigatorEasy,False,256,32,317223,2
NavigatorEasy,False,512,32,336234,2
NavigatorEasy,False,2,32,42300,3
NavigatorEasy,False,4,32,79525,3
NavigatorEasy,False,8,32,124477,3
NavigatorEasy,False,16,32,184746,3
NavigatorEasy,False,32,32,235470,3
NavigatorEasy,False,64,32,270438,3
NavigatorEasy,False,128,32,303687,3
NavigatorEasy,False,256,32,317429,3
NavigatorEasy,False,512,32,336125,3
NavigatorEasy,False,2,32,43891,4
NavigatorEasy,False,4,32,75797,4
NavigatorEasy,False,8,32,132659,4
NavigatorEasy,False,16,32,189506,4
NavigatorEasy,False,32,32,234493,4
NavigatorEasy,False,64,32,274342,4
NavigatorEasy,False,128,32,295486,4
NavigatorEasy,False,256,32,317390,4
NavigatorEasy,False,512,32,335672,4
NavigatorEasy,False,2,32,44122,5
NavigatorEasy,False,4,32,82697,5
NavigatorEasy,False,8,32,132840,5
NavigatorEasy,False,16,32,186268,5
NavigatorEasy,False,32,32,235276,5
NavigatorEasy,False,64,32,273966,5
NavigatorEasy,False,128,32,293447,5
NavigatorEasy,False,256,32,317881,5
NavigatorEasy,False,512,32,336073,5
NavigatorEasy,False,2,32,43712,6
NavigatorEasy,False,4,32,82812,6
NavigatorEasy,False,8,32,129335,6
NavigatorEasy,False,16,32,184555,6
NavigatorEasy,False,32,32,226647,6
NavigatorEasy,False,64,32,276355,6
NavigatorEasy,False,128,32,295619,6
NavigatorEasy,False,256,32,319044,6
NavigatorEasy,False,512,32,336252,6
NavigatorEasy,False,2,32,46290,7
NavigatorEasy,False,4,32,78090,7
NavigatorEasy,False,8,32,130229,7
NavigatorEasy,False,16,32,181085,7
NavigatorEasy,False,32,32,225363,7
NavigatorEasy,False,64,32,271335,7
NavigatorEasy,False,128,32,294030,7
NavigatorEasy,False,256,32,318402,7
NavigatorEasy,False,512,32,335915,7
NavigatorEasy,False,2,32,15547,8
NavigatorEasy,False,4,32,78616,8
NavigatorEasy,False,8,32,134520,8
NavigatorEasy,False,16,32,175879,8
NavigatorEasy,False,32,32,234365,8
NavigatorEasy,False,64,32,275407,8
NavigatorEasy,False,128,32,295919,8
NavigatorEasy,False,256,32,318514,8
NavigatorEasy,False,512,32,335354,8
NavigatorEasy,False,2,32,41832,9
NavigatorEasy,False,4,32,75648,9
NavigatorEasy,False,8,32,130657,9
NavigatorEasy,False,16,32,194149,9
NavigatorEasy,False,32,32,237357,9
NavigatorEasy,False,64,32,270481,9
NavigatorEasy,False,128,32,291659,9
NavigatorEasy,False,256,32,317344,9
NavigatorEasy,False,512,32,336306,9
CartPoleEasy,False,2,32,184619,0
CartPoleEasy,False,4,32,366465,0
CartPoleEasy,False,8,32,512771,0
CartPoleEasy,False,16,32,1472897,0
CartPoleEasy,False,32,32,1386815,0
CartPoleEasy,False,64,32,1930756,0
CartPoleEasy,False,128,32,1771121,0
