,Algorithm,Partial,EnvName,run_id,FinalReturn
0,PQN (MLP),False,AutoEncodeEasy,b3d5vz6i,0.26030597
1,PQN (MLP),False,AutoEncodeEasy,pneekshh,0.25980982
2,PQN (MLP),False,AutoEncodeEasy,sd6xhoye,0.25902778
3,PQN (MLP),False,AutoEncodeHard,auklnzu6,0.24760473
4,PQN (MLP),False,AutoEncodeHard,d7g8aisi,0.24983948
5,PQN (MLP),False,AutoEncodeHard,xwb45fmq,0.25190035
6,PQN (MLP),False,AutoEncodeMedium,gq11uurn,0.25332496
7,PQN (MLP),False,AutoEncodeMedium,mk79m7rd,0.25369185
8,PQN (MLP),False,AutoEncodeMedium,su5imjhe,0.25257182
9,PQN (MLP),False,BattleShipEasy,anzkia4o,0.761538
10,PQN (MLP),False,BattleShipEasy,bofvth1z,0.7801697
11,PQN (MLP),False,BattleShipEasy,eyn2txmp,0.7847819
12,PQN (MLP),False,BattleShipHard,ff9vlyw7,0.14964202
13,PQN (MLP),False,BattleShipHard,ltzg74g2,0.39054704
14,PQN (MLP),False,BattleShipHard,vtlqofta,0.2598637
15,PQN (MLP),False,BattleShipMedium,nnui8czp,0.41308123
16,PQN (MLP),False,BattleShipMedium,r55j704c,0.49091557
17,PQN (MLP),False,BattleShipMedium,up4bdkwi,0.46726155
18,PQN (MLP),False,CartPoleEasy,31zs7gu3,0.9915657
19,PQN (MLP),False,CartPoleEasy,3t6t9zxm,0.9887832
20,PQN (MLP),False,CartPoleEasy,4tn0zlqg,0.992496
21,PQN (MLP),False,CartPoleHard,b3gzu6oy,0.95398486
22,PQN (MLP),False,CartPoleHard,mefnypf6,0.9364489
23,PQN (MLP),False,CartPoleHard,y2lht28e,0.95648944
24,PQN (MLP),False,CartPoleMedium,4rdv3vu5,0.9766623
25,PQN (MLP),False,CartPoleMedium,hpi7e90y,0.9657095
26,PQN (MLP),False,CartPoleMedium,ik5qz7nh,0.97482044
27,PQN (MLP),False,CountRecallEasy,2udujapk,0.39882696
28,PQN (MLP),False,CountRecallEasy,7cmqq9mv,0.40233776
29,PQN (MLP),False,CountRecallEasy,hvcj23sm,0.40922105
30,PQN (MLP),False,CountRecallHard,3k616xzl,0.14513503
31,PQN (MLP),False,CountRecallHard,5o2kz3l0,0.1450042
